id,label,heuristicLabel,keywords,description,enrichedBy,cohesion,symbolCount
"comm_0","Cluster_0","Cluster_0",[],"","heuristic",0.9545454545454546,16
"comm_50","Cluster_50","Cluster_50",[],"","heuristic",0.8888888888888888,9
"comm_13","Ui","Ui",[],"","heuristic",0.9333333333333333,8
"comm_25","Ui","Ui",[],"","heuristic",1,7
"comm_1","Cluster_1","Cluster_1",[],"","heuristic",1,6
"comm_14","Ui","Ui",[],"","heuristic",0.9230769230769231,6
"comm_46","Cluster_46","Cluster_46",[],"","heuristic",0.8333333333333334,6
"comm_21","Ui","Ui",[],"","heuristic",1,5
"comm_56","Cluster_56","Cluster_56",[],"","heuristic",0.8333333333333334,5
"comm_4","Ui","Ui",[],"","heuristic",1,4
"comm_12","Ui","Ui",[],"","heuristic",1,4
"comm_48","Cluster_48","Cluster_48",[],"","heuristic",1,4
"comm_57","Cv2","Cv2",[],"","heuristic",1,4
"comm_58","Cv2","Cv2",[],"","heuristic",1,4
"comm_34","Ui","Ui",[],"","heuristic",1,3
"comm_45","Cluster_45","Cluster_45",[],"","heuristic",1,3
"comm_54","Cluster_54","Cluster_54",[],"","heuristic",1,3
"comm_3","Ui","Ui",[],"","heuristic",1,2
"comm_9","Ui","Ui",[],"","heuristic",1,2
"comm_10","Ui","Ui",[],"","heuristic",1,2
"comm_20","Ui","Ui",[],"","heuristic",1,2
"comm_22","Ui","Ui",[],"","heuristic",1,2
"comm_23","Ui","Ui",[],"","heuristic",1,2
"comm_33","Ui","Ui",[],"","heuristic",1,2
"comm_35","Ui","Ui",[],"","heuristic",1,2
"comm_37","Ui","Ui",[],"","heuristic",1,2
"comm_38","Ui","Ui",[],"","heuristic",1,2
"comm_40","Ui","Ui",[],"","heuristic",1,2
"comm_44","System","System",[],"","heuristic",1,2
"comm_52","Cluster_52","Cluster_52",[],"","heuristic",1,2
