id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_0_mousemoveevent","MouseMoveEvent → _screen_for_logical_point","MouseMoveEvent → _screen_for_logical_point","intra_community",4,"['comm_13']","Function:ui/screenshot_mask.py:ScreenshotMask.mouseMoveEvent","Function:ui/screenshot_mask.py:ScreenshotMask._screen_for_logical_point"
"proc_1_set_tracking_enabled","Set_tracking_enabled → Get_recent_dir","Set_tracking_enabled → Get_recent_dir","intra_community",4,"['comm_46']","Function:core/recent.py:RecentManager.set_tracking_enabled","Function:core/windows_recent.py:get_recent_dir"
"proc_2__process_clipboard","_process_clipboard → _manage_image_cache","_process_clipboard → _manage_image_cache","intra_community",4,"['comm_0']","Function:core/clipboard.py:ClipboardManager._process_clipboard","Function:core/clipboard.py:ClipboardManager._manage_image_cache"
"proc_3__process_clipboard","_process_clipboard → Get_base_dir","_process_clipboard → Get_base_dir","intra_community",4,"['comm_0']","Function:core/clipboard.py:ClipboardManager._process_clipboard","Function:utils/path_helper.py:get_base_dir"
"proc_4___init__","__init__ → _normalize_text_key","__init__ → _normalize_text_key","cross_community",4,"['comm_56','comm_0']","Function:core/clipboard.py:ClipboardManager.__init__","Function:core/clipboard.py:ClipboardManager._normalize_text_key"
"proc_5_mousereleaseevent","MouseReleaseEvent → Close_mask","MouseReleaseEvent → Close_mask","intra_community",3,"['comm_14']","Function:ui/screenshot_mask.py:ScreenshotMask.mouseReleaseEvent","Function:ui/screenshot_mask.py:ScreenshotMask.close_mask"
"proc_6_mousereleaseevent","MouseReleaseEvent → _do_capture","MouseReleaseEvent → _do_capture","intra_community",3,"['comm_14']","Function:ui/screenshot_mask.py:ScreenshotMask.mouseReleaseEvent","Function:ui/screenshot_mask.py:ScreenshotMask._do_capture"
"proc_7_mousereleaseevent","MouseReleaseEvent → _screen_for_logical_point","MouseReleaseEvent → _screen_for_logical_point","cross_community",3,"['comm_14','comm_13']","Function:ui/screenshot_mask.py:ScreenshotMask.mouseReleaseEvent","Function:ui/screenshot_mask.py:ScreenshotMask._screen_for_logical_point"
"proc_8_set_excluded_extensi","Set_excluded_extensions → _save_history","Set_excluded_extensions → _save_history","intra_community",3,"['comm_50']","Function:core/recent.py:RecentManager.set_excluded_extensions","Function:core/recent.py:RecentManager._save_history"
"proc_9_set_history","Set_history → _normalize_text_key","Set_history → _normalize_text_key","cross_community",3,"['comm_56','comm_0']","Function:core/clipboard.py:ClipboardManager.set_history","Function:core/clipboard.py:ClipboardManager._normalize_text_key"
"proc_10_mousemoveevent","MouseMoveEvent → Update_position_from_main","MouseMoveEvent → Update_position_from_main","intra_community",3,"['comm_4']","Function:ui/sub_ball.py:SubBall.mouseMoveEvent","Function:ui/sub_ball.py:SubBall.update_position_from_main"
"proc_11_mousemoveevent","MouseMoveEvent → Get_uia_rect_at","MouseMoveEvent → Get_uia_rect_at","intra_community",3,"['comm_13']","Function:ui/screenshot_mask.py:ScreenshotMask.mouseMoveEvent","Function:core/screenshot.py:get_uia_rect_at"
"proc_12_mousemoveevent","MouseMoveEvent → _screen_for_physical_point","MouseMoveEvent → _screen_for_physical_point","intra_community",3,"['comm_13']","Function:ui/screenshot_mask.py:ScreenshotMask.mouseMoveEvent","Function:ui/screenshot_mask.py:ScreenshotMask._screen_for_physical_point"
"proc_13_get_items","Get_items → _save_history","Get_items → _save_history","intra_community",3,"['comm_50']","Function:core/recent.py:RecentManager.get_items","Function:core/recent.py:RecentManager._save_history"
"proc_14_get_history","Get_history → _save_history","Get_history → _save_history","intra_community",3,"['comm_0']","Function:core/clipboard.py:ClipboardManager.get_history","Function:core/clipboard.py:ClipboardManager._save_history"
"proc_15_set_tracking_enabled","Set_tracking_enabled → _normalize_ext","Set_tracking_enabled → _normalize_ext","cross_community",3,"['comm_46','comm_50']","Function:core/recent.py:RecentManager.set_tracking_enabled","Function:core/recent.py:RecentManager._normalize_ext"
"proc_16_set_tracking_enabled","Set_tracking_enabled → _save_history","Set_tracking_enabled → _save_history","cross_community",3,"['comm_46','comm_50']","Function:core/recent.py:RecentManager.set_tracking_enabled","Function:core/recent.py:RecentManager._save_history"
