Mouse: 1011, 436 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 982, 434 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 980, 432 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 970, 429 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 963, 428 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 956, 424 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 948, 422 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 944, 418 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 938, 418 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 934, 416 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 930, 414 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 926, 412 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 922, 411 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 920, 410 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 918, 410 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 916, 410 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 915, 408 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 914, 406 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 912, 406 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 912, 406 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 912, 405 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 922, 406 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 952, 416 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 986, 424 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1000, 430 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1532, 386 | UIA: None | EW: PySide6.QtCore.QRect(1455, 100, 1280, 728)
Mouse: 1551, 362 | UIA: None | EW: PySide6.QtCore.QRect(1455, 100, 1280, 728)
Mouse: 1566, 346 | UIA: None | EW: PySide6.QtCore.QRect(1455, 100, 1280, 728)
Mouse: 1580, 330 | UIA: None | EW: PySide6.QtCore.QRect(1455, 100, 1280, 728)
Mouse: 1584, 318 | UIA: None | EW: PySide6.QtCore.QRect(1455, 100, 1280, 728)
Mouse: 1588, 316 | UIA: None | EW: PySide6.QtCore.QRect(1455, 100, 1280, 728)
Mouse: 1594, 312 | UIA: None | EW: PySide6.QtCore.QRect(1455, 100, 1280, 728)
Mouse: 1628, 296 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1660, 279 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1684, 266 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1696, 260 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1716, 248 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1734, 236 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1746, 226 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1758, 218 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1772, 208 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1778, 204 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1792, 196 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1806, 186 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1816, 178 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1822, 174 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1828, 170 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
